,,Site LCOE ($/MWh),Transmission LCOE ($/MWh),Site LCOE + Trans LCOE,,Capital Cost Transmission ($/MW),,,Net Capacity Factor,Grid Feature Connection,Resource Class,Capacity (MW),Onshore Distance,Distance from Point to Grid,Area (sq.km),,,ReEDS Demand Region
gid,line_join_gid,site_lcoe,trans_lcoe,full_lcoe,subjoin,cap_cost_trans,transmission_multiplier,region_sub_cost_mult,ncf,category,re_class,capacity,onshore_dist,dist_mi,sq_km,lat,lon,demreg
85,35244,0.115464725,1.917144057,3.071791303,-999,30773.20016,1,1,0.179572523,PCALoadCen,12,109.1232,4.276695605,4.276695605,3.4101,-676309.324,-1855257.13,450
86,35244,0.113438331,2.300899563,3.435282869,-999,37592.72064,1,1,0.182779744,PCALoadCen,12,67.9104,6.015482061,6.015482061,2.1222,-676309.324,-1852377.13,450
87,35244,0.113276757,2.719958015,3.852725588,-999,44502.69661,1,1,0.183040038,PCALoadCen,12,51.0624,7.777332129,7.777332129,1.5957,-676309.324,-1849497.13,450
88,33870,0.113048233,0.475993963,1.606476294,7224,7803.7537,1,1,0.183410451,Substation,12,29.0304,1.989738322,1.989738322,0.9072,-676309.324,-1846617.13,450
89,35244,0.112886176,3.558546716,4.687408471,-999,58424.94789,1,1,0.183673978,PCALoadCen,12,64.2816,11.32711573,11.32711573,2.0088,-676309.324,-1843737.13,450
90,33870,0.112490922,0.703199548,1.82810877,8720,11585.86276,1,1,0.184319705,Substation,12,34.2144,2.954070056,2.954070056,1.0692,-676309.324,-1840857.13,450
91,35244,0.111860313,4.369783563,5.488386688,-999,72402.26646,1,1,0.185359225,PCALoadCen,12,18.6624,14.89093994,14.89093994,0.5832,-676309.324,-1837977.13,450
92,35244,0.11172244,4.786291388,5.903515783,-999,79400.54899,1,1,0.185586482,PCALoadCen,12,28.7712,16.67530571,16.67530571,0.8991,-676309.324,-1835097.13,450
93,35244,0.11154756,5.200199542,6.315675137,-999,86402.7672,1,1,0.185878694,PCALoadCen,12,18.144,18.46067496,18.46067496,0.567,-676309.324,-1832217.13,450
94,35244,0.111119285,5.60026018,6.711453033,-999,93407.87994,1,1,0.186593831,PCALoadCen,12,56.2464,20.24678224,20.24678224,1.7577,-676309.324,-1829337.13,450
95,35244,0.111109093,6.019829993,7.130920921,-999,100415.1833,1,1,0.186610952,PCALoadCen,12,25.1424,22.03344806,22.03344806,0.7857,-676309.324,-1826457.13,450
96,35244,0.111377671,6.45556815,7.569344863,-999,107424.1844,1,1,0.186161369,PCALoadCen,12,34.7328,23.82054675,23.82054675,1.0854,-676309.324,-1823577.13,450
97,35244,0.111401655,6.878339924,7.992356472,-999,114434.5277,1,1,0.186121017,PCALoadCen,12,18.4032,25.60798768,25.60798768,0.5751,-676309.324,-1820697.13,450
98,35244,0.111243017,7.289374312,8.401804483,-999,121445.9505,1,1,0.18638663,PCALoadCen,12,70.5024,27.39570386,27.39570386,2.2032,-676309.324,-1817817.13,450
99,35244,0.110939123,7.689209659,8.798600886,-999,128458.2545,1,1,0.18689698,PCALoadCen,12,125.712,29.18364471,29.18364471,3.9285,-676309.324,-1814937.13,450
100,35244,0.11130973,8.136079118,9.249176413,-999,135471.2871,1,1,0.186274782,PCALoadCen,12,168.2208,30.97177132,30.97177132,5.2569,-676309.324,-1812057.13,450
101,35244,0.111027807,8.535603872,9.645881942,-999,142484.9289,1,1,0.186748296,PCALoadCen,12,190.512,32.76005326,32.76005326,5.9535,-676309.324,-1809177.13,450
102,35244,0.110897616,8.9453202,10.05429636,-999,149499.0853,1,1,0.186966851,PCALoadCen,12,192.5856,34.54846643,34.54846643,6.0183,-676309.324,-1806297.13,450
103,35244,0.110776663,9.354736743,10.46250337,-999,156513.6804,1,1,0.187172785,PCALoadCen,12,120.7872,36.33699144,36.33699144,3.7746,-676309.324,-1803417.13,450
104,35244,0.109989181,9.704631825,10.80452364,-999,163528.6525,1,1,0.188511029,PCALoadCen,12,155.0016,38.12561256,38.12561256,4.8438,-676309.324,-1800537.13,452
105,35244,0.109479785,10.07403981,11.16883765,-999,170543.9507,1,1,0.189388946,PCALoadCen,12,91.7568,39.91431686,39.91431686,2.8674,-676309.324,-1797657.13,452
106,35244,0.10940031,10.4808788,11.57488189,-999,177559.5333,1,1,0.189525768,PCALoadCen,12,214.0992,41.70309364,41.70309364,6.6906,-676309.324,-1794777.13,452
107,37644,0.109361559,10.45104552,11.54466111,-999,177116.9291,1,1,0.189593002,PCALoadCen,12,224.9856,41.59024199,41.59024199,7.0308,-676309.324,-1791897.13,452
